price,size,exchange
76241.31,0.00022,Binance
76241.3,0.0001,Binance
76241.29,0.00016,Binance
76241.26,0.00011,Binance
76241.19,0.00012,Binance
76241.15,0.06098,Binance
76241.14,0.03581,Binance
76241.13,0.0001,Binance
76241.04,0.00212,Binance
76241.01,0.03339,Binance
76240.79,0.00045,Binance
76240.74,0.00012,Binance
76240.58,0.02976,Binance
76240.48,0.00123,Binance
76240.4,0.07498,Binance
76240.22,7e-05,Binance
76240.12,0.00047,Binance
76240.04,0.0001,Binance
76240.01,0.00023,Binance
76240.0,0.04235,Binance
76239.9,0.1049,Binance
76239.77,0.00047,Binance
76239.73,0.01,Binance
76239.51,0.00019,Binance
76239.25,0.00022,Binance
76239.08,0.07498,Binance
76238.78,0.00162,Binance
76238.67,0.00327,Binance
76238.63,0.00015,Binance
76238.6,0.00012,Binance
76238.27,7e-05,Binance
76238.17,0.00016,Binance
76238.1,7e-05,Binance
76238.0,0.0262,Binance
76237.97,0.00019,Binance
76237.94,0.014,Binance
76237.91,0.00023,Binance
76237.89,0.20981,Binance
76237.88,0.39302,Binance
76237.81,7e-05,Binance
76237.78,0.014,Binance
76237.76,0.10494,Binance
76237.69,0.07398,Binance
76237.57,0.00161,Binance
76237.5,0.00128,Binance
76237.37,0.0003,Binance
76237.3,0.06558,Binance
76237.24,0.00029,Binance
76237.18,0.014,Binance
76237.16,0.0001,Binance
76236.95,0.07398,Binance
76236.84,0.00077,Binance
76236.62,0.00025,Binance
76236.61,0.00011,Binance
76236.37,3.12,Binance
76236.34,0.00027,Binance
76236.32,0.0002,Binance
76236.24,0.00075,Binance
76236.21,0.07398,Binance
76236.16,8e-05,Binance
76236.12,0.00013,Binance
76236.06,7e-05,Binance
76236.04,0.00102,Binance
76236.0,0.0262,Binance
76235.9,0.0001,Binance
76235.63,0.00231,Binance
76235.5,0.00288,Binance
76235.43,0.00042,Binance
76235.4,0.1447,Binance
76235.34,0.06098,Binance
76235.29,0.00285,Binance
76235.1,0.00017,Binance
76235.08,0.00156,Binance
76235.0,0.00066,Binance
76234.97,0.00039,Binance
76234.95,0.0916,Binance
76234.9,0.59143,Binance
76234.88,0.00022,Binance
76234.73,0.00131,Binance
76234.72,0.00137,Binance
76234.68,0.07498,Binance
76234.46,7e-05,Binance
76234.25,7e-05,Binance
76234.23,0.07498,Binance
76234.22,0.00196,Binance
76234.17,9e-05,Binance
76234.16,0.07498,Binance
76234.08,0.00015,Binance
76234.03,9e-05,Binance
76234.0,0.02665,Binance
76233.97,0.03798,Binance
76233.81,0.07498,Binance
76233.76,0.0001,Binance
76233.7,0.00016,Binance
76233.64,0.00141,Binance
76233.56,0.00026,Binance
76233.45,0.0006,Binance
76233.33,0.00102,Binance
76233.31,0.00016,Binance
76233.22,0.0001,Binance
76232.99,0.00034,Binance
76232.84,0.07398,Binance
76232.74,7e-05,Binance
76232.59,0.003,Binance
76232.21,0.00016,Binance
76232.14,0.00018,Binance
76232.1,0.07398,Binance
76232.07,7e-05,Binance
76232.01,0.00018,Binance
76232.0,0.0262,Binance
76231.99,0.09398,Binance
76231.93,0.07398,Binance
76231.89,0.07398,Binance
76231.5,0.00028,Binance
76231.44,0.00019,Binance
76231.43,8e-05,Binance
76231.41,0.00285,Binance
76231.39,0.00086,Binance
76231.38,0.00012,Binance
76231.36,0.07398,Binance
76231.27,8e-05,Binance
76230.87,0.05998,Binance
76230.76,0.00425,Binance
76230.73,0.05998,Binance
76230.72,0.00018,Binance
76230.65,7e-05,Binance
76230.64,0.05998,Binance
76230.58,0.02642,Binance
76230.54,0.05998,Binance
76230.52,0.09998,Binance
76230.48,7e-05,Binance
76230.34,0.00657,Binance
76230.3,0.06098,Binance
76230.21,0.06098,Binance
76230.16,0.06098,Binance
76230.09,0.00015,Binance
76230.0,0.06198,Binance
76229.96,0.00313,Binance
76229.67,0.15717,Binance
76229.61,0.0001,Binance
76229.52,0.0001,Binance
76229.34,0.05998,Binance
76229.33,8e-05,Binance
76229.31,0.00016,Binance
76229.24,0.05998,Binance
76229.0,0.09998,Binance
76228.86,0.05998,Binance
76228.57,9e-05,Binance
76228.3,0.12641,Binance
76228.25,0.0121,Binance
76228.23,0.07309,Binance
76228.02,0.09405,Binance
76228.0,0.1262,Binance
76227.99,0.0947,Binance
76227.94,0.53771,Binance
76227.75,0.05998,Binance
76227.69,0.05998,Binance
76227.67,0.11996,Binance
76227.65,0.07598,Binance
76227.29,0.00016,Binance
76227.25,0.585,Binance
76227.11,7e-05,Binance
76227.0,0.0001,Binance
76226.86,0.00706,Binance
76226.84,7e-05,Binance
76226.76,0.0013,Binance
76226.75,0.10098,Binance
76226.72,0.10098,Binance
76226.71,0.09998,Binance
76226.5,0.00026,Binance
76226.39,9e-05,Binance
76226.33,0.00044,Binance
76226.07,0.09298,Binance
76226.05,0.00012,Binance
76226.03,0.01621,Binance
76226.01,0.00028,Binance
76226.0,0.02751,Binance
76225.93,9e-05,Binance
76225.91,9e-05,Binance
76225.82,0.2622,Binance
76225.71,0.12217,Binance
76225.58,0.0398,Binance
76225.48,0.00022,Binance
76225.39,0.09998,Binance
76225.21,0.09998,Binance
76225.0,0.05428,Binance
76224.98,0.0001,Binance
76224.84,0.10098,Binance
76224.8,0.10098,Binance
76224.78,0.00012,Binance
76224.72,8e-05,Binance
76224.57,0.00197,Binance
76224.5,0.00016,Binance
76224.48,0.0001,Binance
76224.44,0.09997,Binance
76224.4,0.0001,Binance
76224.27,0.09998,Binance
76224.04,0.07598,Binance
76224.0,0.0262,Binance
76223.94,0.09998,Binance
76223.86,0.00015,Binance
76223.85,0.00044,Binance
76223.52,0.0001,Binance
76223.49,0.10098,Binance
76223.45,0.10098,Binance
76223.42,0.00078,Binance
76223.33,0.0003,Binance
76223.32,0.00141,Binance
76223.31,0.00032,Binance
76223.18,0.00117,Binance
